Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",112.500000,-114.000000,90.000000,top
"C2","10uF","C_1206_3216Metric",130.000000,-128.000000,90.000000,top
"C4","10uF","C_1206_3216Metric",160.000000,-134.000000,90.000000,top
"C5","100nF","C_0805_2012Metric",134.000000,-109.000000,0.000000,top
"C6","10uF RMS average","C_1206_3216Metric",143.000000,-112.000000,90.000000,top
"J1","CT IN 0-300mVrms","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",106.000000,-120.000000,90.000000,top
"J2","OUT 0-3V DC","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",164.500000,-120.000000,-90.000000,top
"J3","+5V / GND","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",132.000000,-139.000000,0.000000,top
"MH1","MountingHole_3.2mm","MountingHole_3.2mm",104.000000,-104.000000,0.000000,top
"MH2","MountingHole_3.2mm","MountingHole_3.2mm",166.000000,-104.000000,0.000000,top
"MH3","MountingHole_3.2mm","MountingHole_3.2mm",104.000000,-141.000000,0.000000,top
"MH4","MountingHole_3.2mm","MountingHole_3.2mm",166.000000,-141.000000,0.000000,top
"Q1","BC547B","TO-92_Inline",117.000000,-118.000000,0.000000,top
"R1","47k","R_0805_2012Metric",116.000000,-108.000000,90.000000,top
"R2","47k","R_0805_2012Metric",116.000000,-126.000000,90.000000,top
"R3","10k","R_0805_2012Metric",123.000000,-122.000000,0.000000,top
"R4","47k","R_0805_2012Metric",124.000000,-108.000000,0.000000,top
"R5","22k 1%","R_0805_2012Metric",126.000000,-134.000000,0.000000,top
"R6","10k 0.1%","R_0805_2012Metric",148.000000,-130.000000,0.000000,top
"R7","93.1k 0.1%","R_0805_2012Metric",154.000000,-130.000000,0.000000,top
"R8","1k","R_0805_2012Metric",157.000000,-125.000000,90.000000,top
"RV1","10k trim (set 5.1k)","Potentiometer_Bourns_3296W_Vertical",148.000000,-137.000000,0.000000,top
"RV2","5k trim (set 0.44k)","Potentiometer_Bourns_3296W_Vertical",156.000000,-111.000000,0.000000,top
"U1","LTC1967CMS8","MSOP-8_3x3mm_P0.65mm",136.000000,-118.000000,0.000000,top
"U2","OPA333AIDBVR","SOT-23-5",150.000000,-120.000000,0.000000,top
